original_name,carrier_name,carrier_id,status
NH3,NH3,CAR_00001,created
El13,El13,CAR_00002,created
CH4,CH4,CAR_00003,created
El47,El47,CAR_00004,created
ThHt,ThHt,CAR_00005,created
ElBdg,ElBdg,CAR_00006,created
ThBdg,ThBdg,CAR_00007,created
ThGround,ThGround,CAR_00008,created
H2,H2,CAR_00009,created
HydroPumped,HydroPumped,CAR_00010,created
HydroRor,HydroRor,CAR_00011,created
HydroS,HydroS,CAR_00012,created
Msw,Msw,CAR_00013,created
ElPvAlpin,ElPvAlpin,CAR_00014,created
Sol,Sol,CAR_00015,created
U235,U235,CAR_00016,created
ElWind,ElWind,CAR_00017,created
Wood,Wood,CAR_00018,created
ThPhII,ThPhII,CAR_00019,created
ElRest,ElRest,CAR_00020,created
ThSc,ThSc,CAR_00021,created
ThLt,ThLt,CAR_00022,created
C12,C12,CAR_00023,created
N2,N2,CAR_00024,created
BioWet,BioWet,CAR_00025,created
CO2Sys,CO2Sys,CAR_00026,created
H2O,H2O,CAR_00027,created
CookingOil,CookingOil,CAR_00028,created
MeOH,MeOH,CAR_00029,created
COSys,COSys,CAR_00030,created
CO,CO,CAR_00031,created
H2Process,H2Process,CAR_00032,created
C8,C8,CAR_00033,created
O2,O2,CAR_00034,created
CBio,CBio,CAR_00035,created
CO2Fluegas,CO2Fluegas,CAR_00036,created
CO2,CO2,CAR_00037,created
