source_name,source_id,status
report_power_to_ammonia_2018,SRC_00001,created
conversion_parametrization,SRC_00002,created
report_danish_energy_2025,SRC_00003,created
paper_CCGT_2024,SRC_00004,created
report_VSE_2025,SRC_00005,created
report_VSE_2022,SRC_00006,created
source_share,SRC_00007,created
report_jrc_2021,SRC_00008,created
assumption_reFuelWP3_2025,SRC_00009,created
book_hydropower_2020,SRC_00010,created
assumption_PVcostProjection,SRC_00011,created
assumption_Empa_PV_OM,SRC_00012,created
paper_alpinePV_2024,SRC_00013,created
linear_interpolation_2020_2050,SRC_00014,created
paper_biogas,SRC_00015,created
paper_müller_PowerX_2025,SRC_00016,created
report_danish_energy_2026,SRC_00017,created
paper_RWGS,SRC_00018,created
Allgoewer_2024,SRC_00019,created
paper_mutschler_2018,SRC_00020,created
paper_e-fuel production,SRC_00021,created
paper_Msw to syngas,SRC_00022,created
AECOM_2022,SRC_00023,created
biochar_jcp_2025,SRC_00024,created
report_BFE_EP2050plus_CCS_2020,SRC_00025,created
