technology_name,tech_id,status
NH3_CCGT_El,TECH_00001,created
NH3_OCGT_El,TECH_00002,created
CH4_CCGT_El,TECH_00003,created
CH4_CHP_ElTh,TECH_00004,created
CH4_FuelCell_El,TECH_00005,created
CH4_OCGT_El,TECH_00006,created
Geothermal_CHP_ElTh,TECH_00007,created
H2_CCGT_El,TECH_00008,created
H2_FuelCell_El,TECH_00009,created
H2_FuelCell_ElBdg,TECH_00010,created
H2_OCGT_El,TECH_00011,created
El_PumpedHydro_Pump,TECH_00012,created
Hydro_PumpedTurbine_El,TECH_00013,created
Hydro_RunOfRiver_El,TECH_00014,created
Hydro_Reservoir_El,TECH_00015,created
MSW_Incineration_El,TECH_00016,created
Solar_PVAlpine_El,TECH_00017,created
Solar_PVRooftop_El,TECH_00018,created
U235_Nuclear_El,TECH_00019,created
Wind_Turbine_El,TECH_00020,created
Wood_CHP_ElTh,TECH_00021,created
CH4_Boiler_ThBdg,TECH_00022,created
CH4_Boiler_ThInd,TECH_00023,created
El_Heater_ThBdg,TECH_00024,created
El_Heater_ThInd,TECH_00025,created
El_AirCon_ThSc,TECH_00026,created
H2_Boiler_ThInd,TECH_00027,created
El_HeatPump_ThBdg,TECH_00028,created
El_HeatPump_ThInd,TECH_00029,created
Oil_Boiler_ThBdg,TECH_00030,created
Oil_Boiler_ThInd,TECH_00031,created
Wood_Boiler_ThBdg,TECH_00032,created
H2_HaberBosch_NH3,TECH_00033,created
BioWet_Digestion_CH4,TECH_00034,created
H2_Sabatier_CH4,TECH_00035,created
CookingOil_HEFA_C12,TECH_00036,created
H2_CO2Hydro_MeOH,TECH_00037,created
H2_RWGS_CO,TECH_00038,created
El_Electrolysis_H2,TECH_00039,created
Syngas_FT_C12,TECH_00040,created
Syngas_FT_C8,TECH_00041,created
Syngas_COHydro_CH4,TECH_00042,created
Syngas_COHydro_MeOH,TECH_00043,created
MSW_Gasification_Syngas,TECH_00044,created
MSW_Gasification_H2,TECH_00045,created
Wood_Gasification_H2,TECH_00046,created
Wood_Gasification_Syngas,TECH_00047,created
MeOH_MtJ_C12,TECH_00048,created
El_CoElectrolysis_Syngas,TECH_00049,created
CH4_Pyrolysis_H2,TECH_00050,created
CO2Flue_AmineScrub_CO2,TECH_00051,created
BioWet_Pyrolysis_Biochar,TECH_00052,created
Air_DAC_CO2,TECH_00053,created
CO2Flue_PSA_CO2,TECH_00054,created
Wood_Pyrolysis_Biochar,TECH_00055,created
