unmapped_index,technology_name,linked_entity_id,tech_id,process_id,geographic_scope,temporal_scope,capacity_scope,system_boundary,source_ids,date_mapped
0,NH3_CCGT_El,LE_00001,TECH_00001,PROC_00001,ECA,2050,,Plant ready to operate,"[""SRC_00001"", ""SRC_00002"", ""SRC_00003""]",2026-06-23
1,NH3_OCGT_El,LE_00002,TECH_00002,PROC_00002,ECA,2050,,Plant ready to operate,"[""SRC_00001"", ""SRC_00002"", ""SRC_00003""]",2026-06-23
2,CH4_CCGT_El,LE_00003,TECH_00003,PROC_00001,ECA,2050,400000,Plant ready to operate,"[""SRC_00004"", ""SRC_00005"", ""SRC_00006""]",2026-06-23
3,CH4_CHP_ElTh,LE_00004,TECH_00004,PROC_00003,ECA,2050,1000,Plant ready to operate,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
4,CH4_FuelCell_El,LE_00005,TECH_00005,PROC_00004,ECA,2030,,Plant ready to operate,"[""SRC_00008"", ""SRC_00007""]",2026-06-23
5,CH4_FuelCell_ElBdg,LE_00006,TECH_00005,PROC_00004,ECA,2030,,Plant ready to operate,"[""SRC_00008"", ""SRC_00007""]",2026-06-23
6,CH4_OCGT_El,LE_00007,TECH_00006,PROC_00002,ECA,2050,100000,Plant ready to operate,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
7,Geothermal_CHP_ElTh,LE_00008,TECH_00007,PROC_00005,ECA,2050,,Plant ready to operate,"[""SRC_00005"", ""SRC_00007"", ""SRC_00009""]",2026-06-23
8,H2_CCGT_El,LE_00009,TECH_00008,PROC_00001,ECA,2050,400000,Plant ready to operate,"[""SRC_00004"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
9,H2_FuelCell_El,LE_00010,TECH_00009,PROC_00004,ECA,2040,,Plant ready to operate,"[""SRC_00006"", ""SRC_00008"", ""SRC_00007""]",2026-06-23
10,H2_FuelCell_El,LE_00011,TECH_00009,PROC_00004,ECA,2050,,Plant ready to operate,"[""SRC_00006"", ""SRC_00008"", ""SRC_00007""]",2026-06-23
11,H2_FuelCell_ElBdg,LE_00012,TECH_00010,PROC_00004,ECA,2040,,Plant ready to operate,"[""SRC_00006"", ""SRC_00007""]",2026-06-23
12,H2_FuelCell_ElBdg,LE_00013,TECH_00010,PROC_00004,ECA,2050,,Plant ready to operate,"[""SRC_00006"", ""SRC_00007""]",2026-06-23
13,H2_OCGT_El,LE_00014,TECH_00011,PROC_00002,ECA,2050,400000,Plant ready to operate,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
14,El_PumpedHydro_Pump,LE_00015,TECH_00012,PROC_00006,ECA,2025,,Plant ready to operate,"[""SRC_00010"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
15,Hydro_PumpedTurbine_El,LE_00016,TECH_00013,PROC_00007,ECA,2025,,Plant ready to operate,"[""SRC_00010"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
16,Hydro_RunOfRiver_El,LE_00017,TECH_00014,PROC_00008,ECA,2025,,Plant ready to operate,"[""SRC_00010"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
17,Hydro_Reservoir_El,LE_00018,TECH_00015,PROC_00009,ECA,2025,,Plant ready to operate,"[""SRC_00010"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
18,MSW_Incineration_El,LE_00019,TECH_00016,PROC_00010,ECA,2025,,Plant ready to operate,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
19,Solar_PVAlpine_El,LE_00020,TECH_00017,PROC_00011,ECA,2025,,Complete installation,"[""SRC_00011"", ""SRC_00012""]",2026-06-23
20,Solar_PVAlpine_El,LE_00021,TECH_00017,PROC_00011,ECA,2030,,Complete installation,"[""SRC_00011"", ""SRC_00012""]",2026-06-23
21,Solar_PVAlpine_El,LE_00022,TECH_00017,PROC_00011,ECA,2040,,Complete installation,"[""SRC_00011"", ""SRC_00012""]",2026-06-23
22,Solar_PVAlpine_El,LE_00023,TECH_00017,PROC_00011,ECA,2050,,Complete installation,"[""SRC_00011"", ""SRC_00012""]",2026-06-23
23,Solar_PVRooftop_El,LE_00024,TECH_00018,PROC_00012,ECA,2025,,Plant ready to operate,"[""SRC_00005"", ""SRC_00013""]",2026-06-23
24,Solar_PVRooftop_El,LE_00025,TECH_00018,PROC_00012,ECA,2030,,Plant ready to operate,"[""SRC_00005"", ""SRC_00013""]",2026-06-23
25,Solar_PVRooftop_El,LE_00026,TECH_00018,PROC_00012,ECA,2040,,Plant ready to operate,"[""SRC_00005"", ""SRC_00013""]",2026-06-23
26,Solar_PVRooftop_El,LE_00027,TECH_00018,PROC_00012,ECA,2050,,Plant ready to operate,"[""SRC_00005"", ""SRC_00013""]",2026-06-23
27,U235_Nuclear_El,LE_00028,TECH_00019,PROC_00013,ECA,2050,800000,Plant ready to operate,"[""SRC_00005"", ""SRC_00007""]",2026-06-23
28,Wind_Turbine_El,LE_00029,TECH_00020,PROC_00014,ECA,2025,,Complete installation,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
29,Wind_Turbine_El,LE_00030,TECH_00020,PROC_00014,ECA,2030,,Complete installation,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
30,Wind_Turbine_El,LE_00031,TECH_00020,PROC_00014,ECA,2040,,Complete installation,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
31,Wind_Turbine_El,LE_00032,TECH_00020,PROC_00014,ECA,2050,,Complete installation,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
32,Wood_CHP_ElTh,LE_00033,TECH_00021,PROC_00015,ECA,2025,,Plant ready to operate,"[""SRC_00005"", ""SRC_00007""]",2026-06-23
33,CH4_Boiler_ThBdg,LE_00034,TECH_00022,PROC_00016,ECA,2025,,Plant ready to operate,"[""SRC_00006"", ""SRC_00005"", ""SRC_00007""]",2026-06-23
34,CH4_Boiler_ThInd,LE_00035,TECH_00023,PROC_00016,ECA,2025,,Plant ready to operate,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-23
