process_id,process_name,process_description,process_type,process_category,main_sector,feedstocks,products
PROC_00001,CCGT,,,
PROC_00002,OCGT,,,
PROC_00003,CHP plant,,,
PROC_00004,SOFC,,,
PROC_00005,Geothermal power plant,,,
PROC_00006,Pumped hydro (pump mode),,,
PROC_00007,Pumped hydro (turbine mode),,,
PROC_00008,Run-of-river plant,,,
PROC_00009,Reservoir plant,,,
PROC_00010,Incineration plant,,,
PROC_00011,Ground-mounted PV (alpine),,,
PROC_00012,Rooftop PV,,,
PROC_00013,Pressurised water reactor,,,
PROC_00014,Onshore wind turbine,,,
PROC_00015,Biomass CHP plant,,,
PROC_00016,Gas-fired boiler,,,
PROC_00017,Resistance heater,,,
PROC_00018,Air conditioning unit,,,
PROC_00019,Hydrogen burner,,,
PROC_00020,Air-source heat pump,,,
PROC_00021,Industrial heat pump,,,
PROC_00022,Oil-fired boiler,,,
PROC_00023,Biomass furnace,,,
PROC_00024,Haber–Bosch reactor,,,
PROC_00025,Anaerobic digester,,,
PROC_00026,Sabatier reactor,,,
PROC_00027,HEFA reactor,,,
PROC_00028,Methanol synthesis reactor,,,
PROC_00029,RWGS reactor,,,
PROC_00030,Alkaline electrolyser,,,
PROC_00031,FT reactor,,,
PROC_00032,Fluidised bed gasifier,,,
PROC_00033,MtO + oligomerisation reactor,,,
PROC_00034,SOEC co-electrolyser,,,
PROC_00035,Methane pyrolysis reactor,,,
PROC_00036,Amine absorber,,,
PROC_00037,Pyrolysis reactor,,,
PROC_00038,DAC (sorbent-based),,,
PROC_00039,Pressure swing adsorption,,,
PROC_00040,Li-ion battery (residential),,,
PROC_00041,Li-ion battery (grid-scale),,,
PROC_00042,Pumped hydro reservoir,,,
PROC_00043,Hydro reservoir,,,
PROC_00044,High-temperature heat storage,,,
PROC_00045,Hot water tank (residential),,,
PROC_00046,Seasonal thermal storage,,,
PROC_00047,Compressed H₂ tank,,,
PROC_00048,Pipeline linepack,,,
PROC_00049,Compressed CH₄ tank,,,
PROC_00050,Underground gas storage,,,
PROC_00051,Compressed CO₂ tank,,,
PROC_00052,Compressed CO tank,,,
PROC_00053,Liquid fuel tank (diesel/kerosene),,,
PROC_00054,Liquid fuel tank (gasoline),,,
PROC_00055,Ammonia storage tank,,,
PROC_00056,"liquid storage tank, chemicals, organics",,,
PROC_00057,"micro gas turbine, 100kW electrical",,,
PROC_00058,monoethanolamine,,,
PROC_00059,potassium carbonate,,,
PROC_00060,electricity storage capacity,,,
PROC_00061,"heat pump, diffusion absorption, 4kW, future",,,
PROC_00062,"electrolyzer, 1MWe, AEC, Balance of Plant + 2 * Stack",,,
PROC_00063,"heat pump, 30kW",,,
PROC_00064,"auxiliary heating unit, electric, 5kW",,,
PROC_00065,"hydropower plant, reservoir, alpine region",,,
PROC_00066,"auto-thermal reforming-hydrogen GT power plant, 400MWe",,,
PROC_00067,"methanol production facility, construction",,,
PROC_00068,ammonia synthesis catalyst,,,
PROC_00069,RWGS tank construction,,,
PROC_00070,synthetic gas factory,,,
PROC_00071,"photovoltaic plant, 570kWp, multi-Si, on open ground",,,
PROC_00072,gas-to-liquid plant,,,
PROC_00073,"thermal storage system, solar tower power plant, 20 MW",,,
PROC_00074,"heat storage, 2000l",,,
